model,feature,mean,std
gradient_boosting,count_30d,0.7519534546474088,0.03942997362152857
gradient_boosting,mean_fault_dist_km_7d,0.03123222824000157,0.012768156616327955
gradient_boosting,mean_depth_30d,0.03103739356079109,0.006475883943671766
gradient_boosting,days_since_m5,0.030594463961033116,0.021711308761054822
gradient_boosting,b_value_180d,0.028346849631331432,0.007651838319978159
gradient_boosting,min_fault_dist_km,0.015327639309217801,0.0033285642813566086
gradient_boosting,pct_near_fault_30d,0.015140601664865293,0.008463131147707924
gradient_boosting,a_value_180d,0.014124946774365765,0.0035402076769831363
gradient_boosting,max_mag_7d,0.01232537416817131,0.0030571574829262624
gradient_boosting,province_Davao Del Norte,0.011490371434158042,0.003390028051834543
gradient_boosting,max_mag_30d,0.010491124315718001,0.002883191430379946
gradient_boosting,num_clusters_30d,0.010300207218604739,0.006447229350400934
gradient_boosting,count_7d,0.00971217734047426,0.00575001957989174
gradient_boosting,pct_clustered_30d,0.008062075157760366,0.0027045023349926848
gradient_boosting,province_Davao Occidental,0.004606669612322558,0.004459308927676273
gradient_boosting,largest_cluster_size_30d,0.0037757153330039853,0.0023870700597214824
gradient_boosting,delta_b_90d,0.003714876670375841,0.0016155239820739911
gradient_boosting,province_Davao De Oro,0.0024347642364919344,0.0014005341090928074
gradient_boosting,count_1d,0.001812905687490442,0.0012661247063591428
gradient_boosting,max_grid_cell_count_30d,0.0016438220815093382,0.0011936722436113165
gradient_boosting,province_Davao Del Sur,0.0006604062947773056,0.0005510231196685453
gradient_boosting,a_value_180d_missing,0.00047714649985453517,0.0014937825958944015
gradient_boosting,delta_b_90d_missing,0.0002579647405886052,0.0007354108029861875
gradient_boosting,province_Davao Oriental,0.0001869838031532892,0.00017203863388647544
gradient_boosting,b_value_180d_missing,0.00013083707742006894,0.00021368796355463411
gradient_boosting,max_mag_7d_missing,6.183111211015148e-05,0.00010598767692369962
gradient_boosting,pct_near_fault_30d_missing,3.7162445821687626e-05,6.991245551223883e-05
gradient_boosting,mean_fault_dist_km_7d_missing,3.149031617815152e-05,6.668453614447997e-05
gradient_boosting,min_fault_dist_km_missing,2.4431231499361744e-05,5.9642938229365363e-05
gradient_boosting,mean_depth_30d_missing,2.84169050395055e-06,1.0245860820992812e-05
gradient_boosting,max_mag_30d_missing,1.243742997206051e-06,4.484379149925681e-06
gradient_boosting,count_1d_missing,0.0,0.0
gradient_boosting,count_30d_missing,0.0,0.0
gradient_boosting,count_7d_missing,0.0,0.0
gradient_boosting,days_since_m5_missing,0.0,0.0
gradient_boosting,largest_cluster_size_30d_missing,0.0,0.0
gradient_boosting,max_grid_cell_count_30d_missing,0.0,0.0
gradient_boosting,num_clusters_30d_missing,0.0,0.0
gradient_boosting,pct_clustered_30d_missing,0.0,0.0
random_forest,count_30d,0.6834393698679355,0.0759057486799032
random_forest,mean_depth_30d,0.05157084118623357,0.007906283364241543
random_forest,mean_fault_dist_km_7d,0.03260168809158986,0.012205423650108566
random_forest,b_value_180d,0.029219268682236454,0.006202204298977072
random_forest,days_since_m5,0.028461302992820934,0.018689286958083765
random_forest,max_mag_30d,0.02594913292441348,0.003558915781426021
random_forest,min_fault_dist_km,0.02031327077080956,0.0046748685361945215
random_forest,max_mag_7d,0.019181946192900177,0.0030685089666129517
random_forest,pct_near_fault_30d,0.018352089101371014,0.006939502990405767
random_forest,a_value_180d,0.01779426835866335,0.006371044165029075
random_forest,pct_clustered_30d,0.015491737020263508,0.004437576961163341
random_forest,count_7d,0.008324656227274893,0.0022283783514042196
random_forest,province_Davao Del Norte,0.008033728555833886,0.00281463459604617
random_forest,largest_cluster_size_30d,0.007420391317665387,0.002868126180877484
random_forest,delta_b_90d,0.006103814728737176,0.001182494041461471
random_forest,num_clusters_30d,0.005958273731465648,0.0009274701807915534
random_forest,max_grid_cell_count_30d,0.004394672210061014,0.0012153548787144064
random_forest,province_Davao De Oro,0.00411409285048323,0.0020606739012368072
random_forest,count_1d,0.003756362250741369,0.0009109080376752037
random_forest,province_Davao Del Sur,0.003124588211419276,0.000484037484461257
random_forest,province_Davao Occidental,0.002832541991274936,0.0037249638399018837
random_forest,b_value_180d_missing,0.0006517698732190762,0.0005011085184871582
random_forest,a_value_180d_missing,0.0006217695932672461,0.0004993300684898004
random_forest,delta_b_90d_missing,0.0003873778961677728,0.00026210027679829894
random_forest,mean_fault_dist_km_7d_missing,0.0003024066158373844,5.918895608243199e-05
random_forest,max_mag_7d_missing,0.0002882401847909789,5.1000939876691455e-05
random_forest,min_fault_dist_km_missing,0.0002816981177821181,8.128192771644582e-05
random_forest,pct_near_fault_30d_missing,0.00027831911895999085,6.152294808301703e-05
random_forest,province_Davao Oriental,0.00025995877817686834,0.00018622715989161413
random_forest,mean_depth_30d_missing,0.0002515568131504663,8.623773925380038e-05
random_forest,max_mag_30d_missing,0.00023886574445382936,8.004559415022812e-05
random_forest,count_1d_missing,0.0,0.0
random_forest,count_30d_missing,0.0,0.0
random_forest,count_7d_missing,0.0,0.0
random_forest,days_since_m5_missing,0.0,0.0
random_forest,largest_cluster_size_30d_missing,0.0,0.0
random_forest,max_grid_cell_count_30d_missing,0.0,0.0
random_forest,num_clusters_30d_missing,0.0,0.0
random_forest,pct_clustered_30d_missing,0.0,0.0
